Publication Type,AU,BA,Book Editors,GP,Author Full Names,Book Author Full Names,CA,Article Title,Source Title,SE,BS,LA,DT,CT,CY,CL,Conference Sponsor,HO,DE,Keywords Plus,AB,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,FX,CR,NR,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,PU,PI,PA,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,PD,Publication Year,VL,IS,PN,SU,SI,MA,Start Page,End Page,AR,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,SC,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID)
J,"Benade, L",,,,"Benade, Leon",,,Shame: Does it have a place in an education for democratic citizenship?,EDUCATIONAL PHILOSOPHY AND THEORY,,,,Article,,,,,,democratic citizenship; virtues education; reintegrative shaming; restorative justice; shame,GUILT,"Shame, shame management and reintegrative shaming feature in some restorative justice literature, and may have implications for schools. Restorative justice in schools is effective when perpetrators of wrong-doing can accept and take ownership of their wrongful acts, are appropriately remorseful, and seek to make amends. Shame may be understood as an ethical matter if it is regarded to arise because of the contradiction between the wrongful act and the individual's sense of self and self-worth. Shame management (that is, seeking reintegrative over stigmatising shaming) can be regarded to reflect a form of social responsibility as it contributes to community restoration by repairing ruptured social relationships. The notion of shaming and acknowledgement of harm thus assumes norms of acceptable community behaviour, attitudes and relationships, and is therefore also an ethical matter. Successful restorative practices in schools depend on the school-wide existence and practice of such norms, and mesh with virtues education, stimulated by the contemporary demand of many national curricula to promote so-called key competencies. Although the concepts of restorative justice and reintegrative shaming serve as a context for this article, its chief impetus was provided by an evaluative study of a group of New Zealand schools, in the course of which notions such as shame, reintegration and exclusion became evident. The chief purpose of this article is to consider and problematise shame from the perspective of the philosophy of education, and ask whether the concept of shame has a place in schools, whose important aims ought to include the development of democratic citizenship.",,,,,,,,,,,37,8,8,,,,,,,,,,,JUN 7,2015,47.0,7,,,,,661,674,,10.1080/00131857.2014.880644,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000354776100003
J,"Franz, A; Oberst, S; Peters, H; Berger, R; Behrend, R",,,,"Franz, Anne; Oberst, Sebastian; Peters, Harm; Berger, Ralph; Behrend, Ronja",,,"How do medical students learn conceptual knowledge? High-, moderate- and low-utility learning techniques and perceived learning difficulties",BMC MEDICAL EDUCATION,,,,Article,,,,,,Learning techniques; Learning difficulties; Medical students,PSYCHOLOGICAL DISTRESS; UNDERGRADUATE; SCHOOL; EDUCATION; SUCCESS,"Background Acquiring medical knowledge is a key competency for medical students and a lifelong requirement for physicians. Learning techniques can improve academic success and help students cope with stressors. To support students' learning process medical faculties should know about learning techniques. The purpose of this study is to analyse the preferred learning techniques of female and male as well as junior and senior medical students and how these learning techniques are related to perceived learning difficulties. Methods In 2019, we conducted an online survey with students of the undergraduate, competency-based curriculum of medicine at Charite - Universitatsmedizin Berlin. We chose ten learning techniques of high, moderate and low utility according to Dunlosky et al. (2013) and we asked medical students to rate their preferred usage of those techniques using a 5-point Likert scale. We applied t-tests to show differences in usage between female and male as well as junior and senior learners. Additionally, we conducted a multiple regression analysis to explore the predictive power of learning techniques regarding perceived difficulties. Results A total of 730 medical students (488 women, 242 men, M-age = 24.85, SD = 4.49) use three techniques the most: 'highlighting' (low utility), 'self-explanation' (moderate utility) and 'practice testing' (high utility). Female students showed a significantly higher usage of low-utility learning techniques (t(404.24) = -7.13, p < .001) and a higher usage of high-utility learning techniques (t(728) = -2.50, p < .05) than male students (M = 3.55, SD = .95). Compared to junior students (second to sixth semester; M = 3.65, SD = .71), senior students (seventh semester to final clerkship year; M = 3.52, SD = .73) showed a lower use of low-utility learning techniques (t(603) = 2.15, p < .05). Usage of low-utility techniques is related to more difficulties (beta = .08, t(724) = 2.13, p < .05). Usage of moderate-utility techniques is related to less learning difficulties (beta = -.13, t(599) = -3.21, p < .01). Conclusions Students use a wide range of low-, moderate- and high-utility learning techniques. The use of learning techniques has an influence on the difficulties perceived by students. Therefore, they could benefit from knowing about and using high-utility learning techniques to facilitate their learning. Faculties should inform their students about effective learning and introduce them to useful learning techniques.",,,,,,,,,,,28,0,0,,,,,,,,,,,APR 6,2022,22.0,1,,,,,,,250,10.1186/s12909-022-03283-0,,,,"Education & Educational Research; Education, Scientific Disciplines",,,,,,,,2022-06-07,WOS:000778976000003
J,"Ye, JQ; Chen, DM; Kong, LX",,,,"Ye, Jianqiang; Chen, Dimei; Kong, Lingxin",,,BIBLIOMETRIC ANALYSIS OF THE WOS LITERATURE ON RESEARCH OF SCIENCE TEACHER FROM 2000 TO 2017,JOURNAL OF BALTIC SCIENCE EDUCATION,,,,Article,,,,,,science teacher research; bibliometric analyses; Web of Science,ELEMENTARY SCIENCE; KNOWLEDGE; INQUIRY; CONCEPTIONS; STRATEGIES; ATTITUDES; BELIEFS; DESIGN; TOOL,"In order to explore the development of research of science teacher(RST), 904 articles from the Web of Science (WoS) core set based on bibliometric methods through R software were analyzed in this research. Specifically, it examined the cooccurrence relations of countries/regions, major journals, most cited references, and hot keywords from the macroscopic, mesoscopic and microscopic level of RST. The results showed that the core strength of RST is mainly from traditional industrialized countries such as the United States, Australia, and Britain. And some top journals in science education (such as Journal of Research in Science Teaching, Science Education) has to pay more attention on RST, it may also appeal to lots of top journals in general teacher education (such as Journal of Teacher Education, Teaching and Teaher Education). The research on science teachers was guided by several educational theories about teacher research, such as the teacher epistemological belief, reflective practice, and PCK. Moreover, theories in science education such as scientific literacy, scientific conceptual change also becomes the theoretical basis for science teachers' teaching practice and scientific inquiry instructing. The knowledge, key competences, dispositions, and professional development of science teacher are the main keywords and hot topics in the field of RST.",,,,,,,,,,,53,3,3,,,,,,,,,,,,2019,18.0,5,,,,,732,747,,10.33225/jbse/19.18.732,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000489749600008
J,"Davison, M",,,,"Davison, Martyn",,,The case for empathy in the history classroom,CURRICULUM MATTERS,,,,Article,,,,,,,,"This article argues that empathy has an important place in the history classroom and can contribute to the aims of The New Zealand Curriculum (Ministry of Education, 2007). The article examines the concept of empathy from both an affective and cognitive angle. It proposes that empathy is linked to The New Zealand Curriculum in the affective domain through the key competency relating to others and cognitively through the Social Sciences learning area's focus on understanding people's perspectives. The article also examines differing ways of conceptualising empathy within history education and seeks to explain what these might mean for practice.",,,,,,,,,,,44,1,1,,,,,,,,,,,,2010,6.0,,,,,,82,98,,,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000293603600006
J,"Capka, F",,,,"Capka, Frantisek",,,Contemporary Didactics of History in the Czech Republic,CZECH-POLISH HISTORICAL AND PEDAGOGICAL JOURNAL,,,,Article,,,,,,didactics; methodology; school history; the Education Act; key competences; historical thinking; regional history; everyday life; textbook; empirical research,,"Fundamental changes in Czechoslovakia after 1989 naturally had an impact on the educational system, and this impact was particularly pronounced in the subject history. This study presents a basic chronological overview of the changes made in terms of the content, didactics and methodology of history teaching at Czech schools, with a particular view to the adoption and implementation in school practice of the Framework Education System and School Education System. The implementation of these changes was far from simple and encountered frequent misunderstanding and much comment from teachers. Attention is also devoted to changes in the concept of school history textbooks. In conclusion, a number of basic notes are added on the didactics of the subject as an academic field and to new trends in particular.",,,,,,,,,,,5,0,0,,,,,,,,,,,,2016,8.0,1,,,,,36,42,,,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000393434000004
J,"Lambrechts, W",,,,"Lambrechts, Wim",,,The contribution of sustainability assessment to policy development in higher education,ASSESSMENT & EVALUATION IN HIGHER EDUCATION,,,,Article,,,,,,sustainable higher education; sustainability assessment; policy development; AISHE,KEY COMPETENCES; TOOL,"This article builds upon the experiences and results of the application of sustainability assessment instruments in higher education. First, a short overview of existing sustainability assessment tools will be provided, as well as their contribution towards the integration of sustainability in higher education. Second, a reflective case focuses on the use of sustainability assessment for policy development in higher education. This case is based upon the application of the Auditing Instrument for Sustainability in Higher Education in a Belgian higher education institution, focusing on four consecutive assessments in the department of Business Studies (2003, 2004, 2009, 2010). Based on the assessment reports and an evaluation of the assessments, the contribution of sustainability assessment to policy development is reflected upon. The article provides a research-based, reflective study, and focuses on the consecutive application of sustainability assessment tools, the contribution of sustainability assessment to policy development and the contribution of sustainability assessment to connecting a bottom-up approach to a top-down approach. The article results in specific recommendations on the use of sustainability assessment for policy development in higher education.",,,,,,,,,,,33,17,17,,,,,,,,,,,,2015,40.0,6,,,SI,,801,816,,10.1080/02602938.2015.1040719,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000369840900003
J,"Canelas, DA; Hill, JL; Novicki, A",,,,"Canelas, Dorian A.; Hill, Jennifer L.; Novicki, Andrea",,,Cooperative learning in organic chemistry increases student assessment of learning gains in key transferable skills,CHEMISTRY EDUCATION RESEARCH AND PRACTICE,,,,Article,,,,,,,PROFESSIONAL SKILLS; GENERAL-CHEMISTRY; FLIPPED CLASSROOM; GUIDED-INQUIRY; INSTRUCTION; PERFORMANCE; SCIENCE; LECTURE; ENGAGEMENT; RETENTION,"Science and engineering educators and employers agree that students should graduate from college with expertise in their major subject area as well as the skills and competencies necessary for productive participation in diverse work environments. These competencies include problem-solving, communication, leadership, and collaboration, among others. Using a pseudo-experimental design, and employing a variety of data from exam scores, course evaluations, and student assessment of learning gains (SALG) surveys of key competencies, we compared the development of both chemistry content knowledge and transferable or generic skills among students enrolled in two types of large classes: a lecture-based format versus an interactive, constructive, cooperative learning (flipped classroom) format. Controlling for instructor, as well as laboratory and recitation content, students enrolled in the cooperative learning format reported higher learning gains than the control group in essential transferable skills and competency areas at the end of the term, and more growth in these areas over the course of the term. As a result of their work in the class, the two groups of students reported the most significant differences in their gains in the following areas: interacting productively to solve problems with a diverse group of classmates,'' behaving as an effective leader,'' behaving as an effective teammate,'' and comfort level working with complex ideas.'' Our findings clearly show that cooperative learning course designs allow students to practice and develop the transferable skills valued by employers.",,,,,,,,,,,74,26,26,,,,,,,,,,,JUL 1,2017,18.0,3,,,,,441,456,,10.1039/c7rp00014f,,,,"Education & Educational Research; Education, Scientific Disciplines",,,,,,,,2022-06-07,WOS:000404867600005
J,"Fleckenstein, J; Keller, S; Kruger, M; Tannenbaum, RJ; Koller, O",,,,"Fleckenstein, Johanna; Keller, Stefan; Kruger, Maleika; Tannenbaum, Richard J.; Koeller, Olaf",,,Linking TOEFL iBT (R) writing rubrics to CEFR levels: Cut scores and validity evidence from a standard setting study,ASSESSING WRITING,,,,Article,,,,,,English as a foreign language; Writing standard setting; TOEFL iBT; Common European framework of reference for languages (CEFR); Validity,,"English writing is a key competence for higher education success. However, research on the assessment of writing skills in English as a foreign language in European upper secondary education (i.e. beyond year 9) remains scarce. The Common European Framework of Reference (CEFR) describes language proficiency on a scale of six ascending levels (A1-C2). For writing skills at the end of secondary education in Europe, the common standard is vantage level B2. In this study, experts from Germany and Switzerland linked upper secondary students' writing profiles elicited in a constructed response test (integrated and independent essays from the TOEFL iBT(center dot)) to CEFR levels. Standard setting methodology (a modified examinee paper selection/performance profile approach) was used to establish the linkages. The study reports the methodology and procedure of the standard setting process and discusses the procedural and internal validity of resulting cut scores. It also applies the cut scores to a large sample of upper secondary students in Germany and Switzerland to gain evidence for external and consequential validity.",,,,,,,,,,,49,8,8,,,,,,,,,,,JAN,2020,43.0,,,,,,33,47,100420,10.1016/j.asw.2019.100420,,,,Education & Educational Research; Linguistics,,,,,,,,2022-06-07,WOS:000518726300004
J,"El Shennawy, D; Teba-Fernandez, EM",,,,"El Shennawy, Dina; Teba-Fernandez, Eva Maria",,,The Educational End: how Learning Languages Should Prepare for the Future,JOURNAL OF LEARNING STYLES,,,,Article,,,,,,Task-based learning; global competence; CLT-Communicative Language Teaching; Key Competences; 21st century skills; Language adquisition,,"In a 21st century dominated by VUCA environments (Volatile, Uncertain, Complex and Ambiguous) and in an increasingly diverse and global society, education should rethink how to meet the real needs of the citizens of the present and the future. Educational methods for language instruction have received assiduous attention from researchers, that may have overlooked educational ends, and that is to serve real life purposes. Learning a language is more than just acquiring knowledge about a new linguistic norm and its rules: it is above all, a vehicle for communication, an open channel to the world and a new scope with which new cultures are explored and different views and perspectives are discovered and shared. This paper aims at exploring task-based learning approach for language instruction and presenting a study on the benefits attributed to this approach, relating them to existing trends in current educational innovation. In doing so, a comparison between meaning-based learning and instruction-based learning is needed. Here we will review some of the most relevant theories and approaches to better understand task-based learning and explore its potential.",,,,,,,,,,,30,1,1,,,,,,,,,,,,2021,14.0,27,,,,,33,45,,,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000751848100004
J,"Zinkunegi-Goitia, O; Rekalde-Rodriguez, I",,,,"Zinkunegi-Goitia, Olatz; Rekalde-Rodriguez, Itziar",,,Employability within an Education for Sustainability Framework: The Ocean i3 Case Study,EDUCATION SCIENCES,,,,Article,,,,,,higher education; employability; cross-discipline competences; sustainability; case study,KEY COMPETENCES; SKILLS,"The Council of the European Union recalls that higher education plays a fundamental role in shaping the future of Europe. Therefore, curricula are required to take into account the competences demanded by the job market so that future workers can effectively undertake their professional activities and form part of an active, responsible, ecological, sustainable, and resilient society. Ocean i3 is a cross-border project with the aim of achieving sustainability in the oceans by training students to become environmentally concerned and responsible professionals. This study explores the perception of students and teachers regarding their participation in Ocean i3 and their understanding of employability. A qualitative methodological approach has been used, based on a case study in which semi-structured interviews have been carried out and the Elevator Pitch presentation technique has been applied. Nine students and four teachers from the University of the Basque Country and the University of Bordeaux have been interviewed. The results highlight the importance of the participants' first contact with the project, the need to be explicit regarding competences that favour employability during the development of the experience, and the need to increase and reinforce internships at social entities located in the territory. It is concluded that the project should focus more explicitly on the concept of employability to raise students' awareness of the impact that their current participation in Ocean i3 can have on their professional future and insertion in the workplace.",,,,,,,,,,,98,0,0,,,,,,,,,,,APR,2022,12.0,4,,,,,,,277,10.3390/educsci12040277,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000786177000001
J,"Pitura, J; Terlecka-Pacut, E",,,,"Pitura, Joanna; Terlecka-Pacut, Elzbieta",,,Action research on the application of technology assisted urban gaming in language education in a Polish upper-secondary school,COMPUTER ASSISTED LANGUAGE LEARNING,,,,Article,,,,,,Urban game; language learning; mobile technology; upper-secondary school,LOCATION-BASED GAMES; DIGITAL GAMES; MOBILE GAME; ENGLISH; IMPLEMENTATION; STUDENTS; IMPACT; MALL,"Being able to communicate in foreign languages, along with the remaining key competences for lifelong learning, are of special significance for upper-secondary school students - soon-to-be tertiary education students and employees. Although Polish educational authorities have made efforts to account for this need in the Core Curriculum for Modern Languages, the provisions are pursued with difficulty in school practice. The aim of this paper is to address this challenge by exploring and evaluating the feasibility and student-participant perceptions of urban gaming in school settings as a didactic tool that facilitates language education, as well as digital, social, and learning to learn skills development in an upper-secondary school. Accordingly, the paper presents the design, implementation and evaluation of a technology assisted urban game named As it once was in Cracowdiscovering the history of the city', developed for a group of Polish upper-secondary school students (N = 25) from Warsaw. The results provide evidence for student-perceived educational gains with regard to the development of skills such as teamwork, digital literacy, the English language, and content (history) knowledge.",,,,,,,,,,,78,0,0,,,,,,,,,,,,2018,31.0,7,,,,,734,763,,10.1080/09588221.2018.1447490,,,,Education & Educational Research; Linguistics; Language & Linguistics,,,,,,,,2022-06-07,WOS:000451985800005
J,"Rico-Garcia, M; Burns, LVF",,,,"Rico-Garcia, Mercedes; Fielden Burns, Laura, V",,,Intercultural communication in engineering studies: a key competence in global labour markets,EUROPEAN JOURNAL OF ENGINEERING EDUCATION,,,,Article,,,,,,Engineering; intercultural competence; in-class-instruction; Ingenieria; Competencia intercultural; Ensenanza,,"Intercultural communication is not only a necessary tool for most international workplaces, but also for higher education so as to better prepare students for their future jobs. To test how intercultural competences might be taught in engineering programmes in Spain, a country where many young people have to emigrate in order to find work, an experimental group of engineers was trained in the acquisition of intercultural competences, and compared to a control group in the same field. Students exposed to the intercultural content performed significantly better on later intercultural assessments. Pedagogical implications show that teaching intercultural skills in monoculture contexts is feasible.",,,,,,,,,,,53,3,3,,,,,,,,,,,NOV 1,2020,45.0,6,,,,,833,853,,10.1080/03043797.2019.1654980,,AUG 2019,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000483639300001
J,"Ahmadi, N; Besancon, M",,,,"Ahmadi, Niluphar; Besancon, Maud",,,Creativity as a Stepping Stone towards Developing Other Competencies in Classrooms,EDUCATION RESEARCH INTERNATIONAL,,,,Review,,,,,,,CRITICAL THINKING; METACOGNITION; DISPOSITIONS; FRAMEWORK; TEACHERS; SKILLS,"Creativity, as a 21st-century skill, has gained more interest these past years and has become one of the key competencies to be implemented in classrooms. However, some studies highlight teachers' difficulties to integrate it in a classroom context. For instance, introducing creativity in overloaded school curricula may be a hindrance to developing it. Teachers have to implement other 21st-century competencies (the 4Cs) at the same time as well. These educational objectives can be considerable in terms of time and means for teachers and thus do not encourage them to develop these competencies. The purpose of this article is to present links, essentially theoretical, made by researchers between creativity and other 21st-century skills (e.g., critical thinking, metacognition, and collaboration). We considered that if creativity shares some characteristics with other competencies, it can be possible that, by applying only a teaching-for-creativity approach in classroom, we can also contribute to developing the other C as well. So choosing only creativity can be a way for teachers to develop their pupils' skills without falling behind in their curriculum. In this article, we will also discuss our hypothesis taking into account limits from teachers' classroom practices. Teachers' training, evaluation, and everyday practices will be considered.",,,,,,,,,,,63,9,9,,,,,,,,,,,,2017,2017.0,,,,,,,,1357456,10.1155/2017/1357456,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000407143200001
J,"Anoshkova, TA",,,,"Anoshkova, T. A.",,,IMPLEMENTATION OF GLOBAL COMPETENCY IN HIGHER EDUCATION,ADVANCED EDUCATION,,,,Article,,,,,,global competency; global education; globalization; cultural differences; international communication; foreign language; higher education,,"The article is devoted to the thorough characteristics of global competence as an important component of training young specialists. Globalization processes led to the irreversible changes in the modern society, opening the world borders and increasing the role of international communication. Such processes affected the higher education of numerous countries and created the concept of global education. The article describes global competency as the essential component of global education. There are several definitions of global competency, given by American, European and native scientists. The key competencies are determined on the basis of the research works of the scientists. The author gives general characteristic of these competencies in accordance with the emphasized approaches. The emphasis is placed on the understanding of cultural differences and intercultural communication with the leading role of foreign language in global education process. In the current article it is explained the connection between competencies acquired by students at the universities and the demands of the real-world labor market. The article also underlines the dominant position of a teacher in the successful acquirement of global competency by the students. It gives the examples of the pedagogical skills necessary for developing competencies in the context of global education.",,,,,,,,,,,5,2,2,,,,,,,,,,,,2015,,3,,,,,4,8,,,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000378062800001
J,"Grant, D",,,,"Grant, David",,,Feeling for meaning: the making and understanding of Image Theatre,RIDE-THE JOURNAL OF APPLIED THEATRE AND PERFORMANCE,,,,Article,,,,,,Image Theatre; Augusto Boal; cognitive science; kinaesthetic empathy; Northern Ireland,,"Using iconic images created by students in Belfast and Sarajevo of their respective cities, this paper will explore how emerging ideas in the field of cognitive science (e.g. Gallagher, S. 2005. How the Body Shapes the Mind. Oxford: Clarendon Press) can help explain the making and understanding of Augusto Boal's Image Theatre'. There has been growing interest in the intersection between performance and cognitive science (McConachie, B., and H. E. Hart, eds. 2006. Performance and Cognition: Theatre Studies after the Cognitive Turn. Routledge), particularly in terms of kinaesthetic empathy (Reynolds, D., and M. Reason, eds. 2012. Kinaesthetic Empathy in Creative and Cultural Practices. Intellect), which can enhance our understanding of the embodied practices associated with Augusto Boal's Image Theatre. This paper will analyse the ambiguities inherent in stage images of contested cities to explore how these may reveal unconscious insights into the image-makers' perception of their home environments. An image of Sarajevo, for instance, ostensibly about the Winter Olympics, prompts consideration of the city's internal divisions. An image of Belfast, ostensibly about the Titanic, suggests the limitations of the city's Peace Process. Taking Boal's idea that stage images should be felt rather than read, this article explores the fine line between feeling and meaning in the understanding of Image Theatre and suggests that alongside literacy and orality we now also need to include imageracy', the ability to interpret and understand images, as a key competency for the modern world.",,,,,,,,,,,15,1,1,,,,,,,,,,,MAY,2017,22.0,2,,,,,186,201,,10.1080/13569783.2017.1286977,,,,Education & Educational Research; Theater,,,,,,,,2022-06-07,WOS:000399927200002
J,"Thomas, I; Day, T",,,,"Thomas, Ian; Day, Teresa",,,"Sustainability capabilities, graduate capabilities, and Australian universities",INTERNATIONAL JOURNAL OF SUSTAINABILITY IN HIGHER EDUCATION,,,,Article,,,,,,Australia; Sustainable development; Universities; Capabilities; Education for sustainability; Graduate attribute statements,HIGHER-EDUCATION; KEY COMPETENCES,"Purpose - In the context of universities implementing education for sustainability (EfS), the aim of the research presented here is to review the extent to which capabilities related to sustainability are represented by the capabilities generally sought by employers, and to determine whether these are incorporated in the graduate capability statements of Australian universities. Design/methodology/approach - Based on the discussion of graduate capabilities and those associated with sustainability, a web-based survey of university graduate attribute statements was undertaken. Findings - Generally, Australian universities have established frameworks of graduate capabilities that relate to the broad needs of employers. Of eight capabilities listed as important by employers, six were identified at some two-thirds of universities. Just under half of the universities' statements contained references to sustainability, while all the literature derived sustainability capabilities, except for systems/holistic thinking, are represented to some degree. Those most strongly represented included understanding of social justice and equity; skills in communication and cooperation; and having commitment to social justice and equity. Practical implications - Apparently, in Australian universities, the framework for the development of sustainability capabilities is broadly in place, but not all have sustainability capabilities in place. This framework supports the implementation of EfS, but without development of pedagogy to underlie implementation, the authors have little insight about the extent of implementation, and whether graduates leave with sustainability capabilities. Originality/value - Uniquely this research identifies the extent to which Australian universities are providing direction in the development of capabilities related to the requirements of employers, and for sustainability.",,,,,,,,,,,38,34,35,,,,,,,,,,,,2014,15.0,2,,,,,208,227,,10.1108/IJSHE-05-2012-0046,,,,Green & Sustainable Science & Technology; Education & Educational Research,,,,,,,,2022-06-07,WOS:000333142100007
J,"Bondaruk, Y",,,,"Bondaruk, Yana",,,THE DEVELOPMENT OF FUTURE EFL TEACHERS' INFORMATION COMPETENCE IN PROFESSIONAL TRAINING,ADVANCED EDUCATION,,,,Article,,,,,,future EFL teachers; information technologies; communication; professional training; professional development; information competence,,"The article explicates the significance of the development of future EFL teachers' information competence for their professional career and investigates the possibility to improve this competence in studying English. It also reveals the relations between information competence and professional development of future EFL teachers and proves that information competence has become the important one for life-long education of EFL teachers. It depicts that the information competence influences the professional level of future EFL teachers, their creative skills and abilities. In the article, compulsory and optional courses in the system of the teacher education for the development of information competence are analysed. It examines the importance of the use of information technology during professional training, as it solves not only the task to improve future EFL teachers' education but the development of the information competence of new generation school teachers. It proves that digital technologies influence the development of new ways of teaching and learning English, form new professional characteristics of EFL teachers; create new key competences for lifelong learning of future professionals. It deals with the problem that the lack of adequate access to the information and communication technology has the influence on the development of highly skilled professionals in the sphere of English language education.",,,,,,,,,,,20,0,0,,,,,,,,,,,,2017,,7,,,,,45,50,,10.20535/2410-8286.73925,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000417994400008
J,"Radberg, KK; Lundqvist, U; Malmqvist, J; Svensson, OH",,,,"Radberg, Kamilla Kohn; Lundqvist, Ulrika; Malmqvist, Johan; Svensson, Oskar Hagvall",,,From CDIO to challenge-based learning experiences - expanding student learning as well as societal impact?,EUROPEAN JOURNAL OF ENGINEERING EDUCATION,,,,Article,,,,,,Challenge-based learning; CDIO; sustainability; multidisciplinary learning; stakeholder involvement,SUSTAINABLE DEVELOPMENT; HIGHER-EDUCATION; KEY COMPETENCES; FRAMEWORK,"Challenge-based learning (CBL) is a multidisciplinary approach that encourages students to work actively with peers, teachers and stakeholders in society to identify complex challenges, formulate relevant questions and take action for sustainable development. In this paper, it is argued that CBL can be viewed as an evolution of the Conceive, Design, Implement, Operate concept, expanding as well as deepening the learning experience. The study reported on investigates the multiple aims of a particular CBL environment (the Challenge Lab at Chalmers University of Technology), which are to combine significant student learning and societal transformation. The results show that the students perceive that they have developed deep skills in problem formulation and sustainable development, as well as working across disciplines and with different stakeholders. Moreover, the study shows that although few student projects reach implementation stage, there is a potential for societal impact both during and after the Challenge Lab learning experience.",,,,,,,,,,,52,21,21,,,,,,,,,,,JAN 2,2020,45.0,1,,,SI,,22,37,,10.1080/03043797.2018.1441265,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000506488700003
J,"Hockicko, P; Kristak, L; Nemec, M",,,,"Hockicko, Peter; Kristak, Lubos; Nemec, Miroslav",,,Development of students' conceptual thinking by means of video analysis and interactive simulations at technical universities,EUROPEAN JOURNAL OF ENGINEERING EDUCATION,,,,Article,,,,,,interactive simulations; program Tracker; PhET simulations; Student's t-test; video analysis,PEER INSTRUCTION,"Video analysis, using the program Tracker (Open Source Physics), in the educational process introduces a new creative method of teaching physics and makes natural sciences more interesting for students. This way of exploring the laws of nature can amaze students because this illustrative and interactive educational software inspires them to think creatively, improves their performance and helps them in studying physics. This paper deals with increasing the key competencies in engineering by analysing real-life situation videos - physical problems - by means of video analysis and the modelling tools using the program Tracker and simulations of physical phenomena from The Physics Education Technology (PhET (TM)) Project (VAS method of problem tasks). The statistical testing using the t-test confirmed the significance of the differences in the knowledge of the experimental and control groups, which were the result of interactive method application.",,,,,,,,,,,58,32,32,,,,,,,,,,,MAR 4,2015,40.0,2,,,,,145,166,,10.1080/03043797.2014.941337,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000354265800003
J,"Redecker, C; Johannessen, O",,,,"Redecker, Christine; Johannessen, Oystein",,,Changing Assessment Towards a New Assessment Paradigm Using ICT,EUROPEAN JOURNAL OF EDUCATION,,,,Article,,,,,,eAssessment; Computer-Based Assessment (CBA); competence-based assessment; key competences; 21st century skills,FORMATIVE ASSESSMENT; COGNITIVE TUTOR; MATHEMATICS; MARKING,"This article discusses how Information and Communication Technologies can support 21st century assessment strategies and what needs to be done to ensure that technological advances support and foster pedagogical innovation. Based on an extensive review of the literature, it provides an overview of current ICT-enabled assessment practices, with a particular focus on the more recent developments of ICT-enhanced assessment tools that recognise 21st century skills. The article also refers to relevant cases of eAssessment, looks into examples of the potential of emerging technologies for eAssessment and discusses some relevant innovation and policy issues. Reflecting on these examples, it argues that, although technological challenges exist, the more pressing task at present is to transcend the traditional testing paradigm and conceptually develop (e)Assessment strategies that allow to more fully exploit the benefits of emerging technologies in order to foster the development of 21st century skills.",,,,,,,,,,,62,65,65,,,,,,,,,,,MAR,2013,48.0,1,,,SI,,79,96,,10.1111/ejed.12018,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000315083900007
J,"Karlgren, K; Paavola, S; Ligorio, MB",,,,"Karlgren, Klas; Paavola, Sami; Ligorio, Maria Beatrice",,,Introduction: what are knowledge work practices in education? How can we study and promote them?,RESEARCH PAPERS IN EDUCATION,,,,Article,,,,,,Knowledge work; work practices; lifelong learning; 21st century skills; knowledge creation,PRESERVICE TEACHERS; TECHNOLOGY,"New kinds of jobs require managing new kinds of work life competences and a number of such key competences for lifelong learning which equip young people for further learning and employability in a knowledge society have already been identified. Research has however indicated that formal education is not providing adequate support and opportunities for acquiring the needed competencies in practice. More discussion and empirical research is needed about knowledge work competences and related practices in secondary schools, higher education and in the work life. The theme of this special Issue is 'Knowledge work: educational practices preparing students for work life' and it has as its aim to contribute to a discussion on how changes in professional work can be taken into account in educational settings. Of particular interest in this special issue is how educational theory about 'knowledge-creation' is applied in practice. The trialogical approach to learning highlights collaborative knowledge creation and the development of shared, mediating objects. This theory and its associated design principles are introduced. The contributions of this special issue relate to implementing ideas of the trialogical approach to learning in various ways and each contribution is briefly presented.",,,,,,,,,,,28,6,6,,,,,,,,,,,JAN 2,2020,35.0,1,,,SI,,1,7,,10.1080/02671522.2019.1677761,,OCT 2019,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000491980400001
